,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Day_Perc_Change,Trend,14 Day MA,14 Day STD,Upper Band,Lower Band,Call
13,HINDUNILVR,EQ,01-Jun-2017,1067.0,1067.0,1099.45,1061.2,1094.55,1095.35,1091.65,1782269,1945606800.45,69057,1160309,65.1,6,2017,2.6569821930646498,positive,1037.0076923076924,32.25966809961673,1101.527028506926,972.4883561084587,Hold Short/Liquidate Buy
14,HINDUNILVR,EQ,02-Jun-2017,1095.35,1100.05,1103.0,1046.1,1085.0,1086.4,1083.08,2216247,2400378655.9,40705,1803842,81.39,6,2017,-0.8170904277171487,Other,1043.6230769230772,32.93780512435897,1109.4986871717952,977.7474666743593,Hold Short/Liquidate Buy
15,HINDUNILVR,EQ,05-Jun-2017,1086.4,1092.0,1101.3,1088.0,1095.0,1097.75,1096.57,612171,671288397.35,35182,355028,57.99,6,2017,1.044734904270972,positive,1050.419230769231,34.37156369770849,1119.162358164648,981.6761033738139,Hold Short/Liquidate Buy
16,HINDUNILVR,EQ,06-Jun-2017,1097.75,1097.95,1101.8,1087.0,1091.0,1091.55,1092.44,1203091,1314304860.3,29449,915629,76.11,6,2017,-0.5647916192211389,Other,1058.2115384615388,30.90158540866827,1120.0147092788752,996.4083676442019,Hold Short/Liquidate Buy
17,HINDUNILVR,EQ,07-Jun-2017,1091.55,1105.2,1114.25,1091.5,1106.0,1106.35,1107.07,2392047,2648170064.95,81560,1666883,69.68,6,2017,1.3558700929870326,positive,1065.7769230769231,29.595823293333837,1124.9685696635906,1006.5852764902556,Hold Short/Liquidate Buy
18,HINDUNILVR,EQ,08-Jun-2017,1106.35,1106.7,1115.0,1088.55,1092.9,1093.5,1103.14,935574,1032073423.1,45799,555504,59.38,6,2017,-1.1614769286392157,Other,1071.5384615384617,26.80534892086309,1125.149159380188,1017.9277636967357,Hold Short/Liquidate Buy
19,HINDUNILVR,EQ,09-Jun-2017,1093.5,1091.0,1105.4,1090.0,1097.0,1095.35,1095.6,691085,757155244.15,29000,403543,58.39,6,2017,0.16918152720621915,Slight or No change,1076.965384615385,23.491056672481264,1123.9474979603474,1029.9832712704224,Hold Short/Liquidate Buy
20,HINDUNILVR,EQ,12-Jun-2017,1095.35,1096.0,1105.0,1083.0,1100.0,1099.65,1092.43,1059705,1157658475.5,27430,736896,69.54,6,2017,0.3925685853836791,Slight or No change,1081.7038461538464,21.0757607764862,1123.8553677068187,1039.552324600874,Hold Short/Liquidate Buy
21,HINDUNILVR,EQ,13-Jun-2017,1099.65,1096.0,1109.35,1095.05,1102.0,1102.75,1103.63,1040661,1148501285.75,33761,788203,75.74,6,2017,0.2819078797799301,Slight or No change,1086.2653846153846,18.346972781807725,1122.9593301790003,1049.5714390517694,Hold Short/Liquidate Buy
22,HINDUNILVR,EQ,14-Jun-2017,1102.75,1105.0,1119.6,1094.2,1117.5,1113.7,1104.35,1139136,1257999932.55,42295,765088,67.16,6,2017,0.9929721151666238,Slight positive,1091.8615384615387,13.938528046481402,1119.7385945545016,1063.9844823685758,Hold Short/Liquidate Buy
23,HINDUNILVR,EQ,15-Jun-2017,1113.7,1117.5,1121.5,1101.6,1102.3,1104.0,1112.05,1051935,1169806882.65,58917,764006,72.63,6,2017,-0.8709706384125049,Other,1094.3038461538465,12.963337107949634,1120.2305203697456,1068.377171937947,Hold Short/Liquidate Buy
24,HINDUNILVR,EQ,16-Jun-2017,1104.0,1104.0,1110.85,1088.45,1090.0,1091.8,1093.77,1550451,1695835583.95,44130,1185765,76.48,6,2017,-1.1050724637681195,Other,1095.7807692307692,11.26732995695782,1118.3154291446851,1073.2461093168536,Hold Buy/Liquidate Short
25,HINDUNILVR,EQ,19-Jun-2017,1091.8,1094.4,1101.0,1090.3,1095.85,1095.65,1095.95,859068,941493592.5,37826,613375,71.4,6,2017,0.3526286865726425,Slight or No change,1097.9846153846154,7.257047856375812,1112.498711097367,1083.4705196718635,Hold Buy/Liquidate Short
26,HINDUNILVR,EQ,20-Jun-2017,1095.65,1098.85,1101.0,1091.1,1099.3,1093.05,1094.19,1272735,1392610247.75,31555,1049900,82.49,6,2017,-0.2373020581390217,Slight or No change,1097.8076923076924,7.3540194835265265,1112.5157312747451,1083.0996533406394,Hold Buy/Liquidate Short
27,HINDUNILVR,EQ,21-Jun-2017,1093.05,1094.25,1129.0,1093.95,1127.0,1123.45,1111.87,1411671,1569593401.35,55360,898389,63.64,6,2017,2.7812085448973183,positive,1100.6576923076925,9.446248068100298,1119.550188443893,1081.7651961714917,Short
28,HINDUNILVR,EQ,22-Jun-2017,1123.45,1117.0,1117.4,1092.05,1093.0,1094.05,1101.34,1000211,1101568441.05,67490,640852,64.07,6,2017,-2.616938893586729,Other,1100.373076923077,9.595715523620033,1119.564507970317,1081.181645875837,Hold Buy/Liquidate Short
29,HINDUNILVR,EQ,23-Jun-2017,1094.05,1093.9,1102.75,1075.0,1095.05,1097.9,1091.2,1600881,1746888561.55,69468,1097595,68.56,6,2017,0.3519034779032149,Slight or No change,1100.8615384615384,9.265081260799423,1119.3917009831373,1082.3313759399396,Hold Buy/Liquidate Short
30,HINDUNILVR,EQ,27-Jun-2017,1097.9,1096.5,1114.95,1087.0,1092.95,1092.1,1094.25,1809437,1979973724.05,52414,1410677,77.96,6,2017,-0.5282812642317336,Other,1099.7653846153846,9.403553951728183,1118.572492518841,1080.9582767119282,Hold Buy/Liquidate Short
31,HINDUNILVR,EQ,28-Jun-2017,1092.1,1095.0,1104.95,1084.25,1092.0,1090.0,1093.41,1084236,1185513322.3,52162,792685,73.11,6,2017,-0.1922900833256969,Slight or No change,1099.4961538461541,9.644892031934736,1118.7859379100234,1080.2063697822844,Hold Buy/Liquidate Short
32,HINDUNILVR,EQ,29-Jun-2017,1090.0,1094.65,1094.65,1084.25,1087.0,1088.1,1090.93,1771369,1932439891.15,30968,1376094,77.69,6,2017,-0.1743119266055082,Slight or No change,1098.9384615384615,10.103323583647283,1119.145108705756,1078.731814371167,Hold Buy/Liquidate Short
33,HINDUNILVR,EQ,30-Jun-2017,1088.1,1085.0,1092.7,1064.0,1080.0,1079.6,1078.18,1501780,1619189979.55,56215,950779,63.31,6,2017,-0.7811782005330392,Other,1097.396153846154,11.429028493606898,1120.2542108333678,1074.5380968589402,Hold Buy/Liquidate Short
34,HINDUNILVR,EQ,03-Jul-2017,1079.6,1093.0,1100.1,1081.1,1098.0,1097.75,1092.94,823810,900378422.6,32627,491860,59.71,7,2017,1.6811782141533893,positive,1097.0115384615383,11.317430396040294,1119.6463992536192,1074.376677669458,Hold Short/Liquidate Buy
35,HINDUNILVR,EQ,04-Jul-2017,1097.75,1104.4,1112.0,1083.85,1091.0,1088.1,1099.94,938993,1032834589.1,29822,615135,65.51,7,2017,-0.8790708266909641,Other,1095.0423076923078,10.358206210412163,1115.758720113132,1074.3258952714832,Hold Buy/Liquidate Short
36,HINDUNILVR,EQ,05-Jul-2017,1088.1,1087.0,1098.0,1082.05,1095.0,1096.7,1093.35,364842,398900021.6,13880,193345,52.99,7,2017,0.7903685323040309,Slight positive,1094.4807692307693,10.02462672749594,1114.5300226857612,1074.4315157757774,Hold Short/Liquidate Buy
37,HINDUNILVR,EQ,06-Jul-2017,1096.7,1096.7,1096.7,1086.4,1092.05,1092.5,1091.5,653440,713230718.2,31534,503130,77.0,7,2017,-0.382967083067387,Slight or No change,1094.5346153846156,10.010897907933224,1114.556411200482,1074.5128195687491,Hold Buy/Liquidate Short
38,HINDUNILVR,EQ,07-Jul-2017,1092.5,1091.0,1109.9,1089.8,1095.2,1097.7,1100.28,780216,858452725.35,30013,419943,53.82,7,2017,0.475972540045766,Slight or No change,1094.692307692308,10.046015921618924,1114.784339535546,1074.6002758490704,Hold Short/Liquidate Buy
39,HINDUNILVR,EQ,10-Jul-2017,1097.7,1150.0,1150.0,1090.0,1096.0,1096.25,1098.61,155828,171193942.25,4583,62749,40.27,7,2017,-0.1320943791564222,Slight or No change,1094.938461538462,10.041624906817416,1115.0217113520966,1074.8552117248269,Hold Short/Liquidate Buy
40,HINDUNILVR,EQ,11-Jul-2017,1096.25,1102.0,1112.95,1097.0,1103.85,1106.45,1108.12,1088867,1206598295.95,63934,729578,67.0,7,2017,0.9304446978335212,Slight positive,1093.6307692307696,6.502484732184437,1106.6357386951386,1080.6257997664006,Hold Short/Liquidate Buy
41,HINDUNILVR,EQ,12-Jul-2017,1106.45,1110.0,1138.4,1105.0,1131.9,1131.65,1129.05,1749266,1975004428.55,58316,1021808,58.41,7,2017,2.277554340458221,positive,1096.5230769230773,12.395977428595257,1121.3150317802679,1071.7311220658867,Short
42,HINDUNILVR,EQ,13-Jul-2017,1131.65,1134.7,1139.9,1131.0,1133.45,1134.7,1135.57,1390586,1579105511.1,67090,958094,68.9,7,2017,0.26951796050014304,Slight or No change,1099.3538461538467,16.318017413512028,1131.9898809808708,1066.7178113268226,Short
43,HINDUNILVR,EQ,14-Jul-2017,1134.7,1135.0,1144.95,1125.3,1139.8,1139.3,1138.38,1430776,1628763515.65,42610,936822,65.48,7,2017,0.4053934960782435,Slight or No change,1102.9846153846158,19.50862399700199,1142.00186337862,1063.9673673906118,Hold Short/Liquidate Buy
44,HINDUNILVR,EQ,17-Jul-2017,1139.3,1140.0,1156.0,1130.05,1150.5,1152.95,1145.53,1177146,1348458945.3,26930,639029,54.29,7,2017,1.1981040990081793,positive,1107.8269230769238,23.43457751010076,1154.6960780971249,1060.957768056722,Hold Short/Liquidate Buy
45,HINDUNILVR,EQ,18-Jul-2017,1152.95,1153.25,1169.8,1147.3,1159.6,1157.85,1159.28,3322231,3851401818.15,74976,2098067,63.15,7,2017,0.4249967474738492,Slight or No change,1113.192307692308,26.345578741617555,1165.8834651755433,1060.5011502090726,Hold Short/Liquidate Buy
46,HINDUNILVR,EQ,19-Jul-2017,1157.85,1190.0,1195.05,1135.5,1156.5,1154.35,1157.1,4799441,5553431460.95,117464,2011230,41.91,7,2017,-0.3022844064429764,Slight or No change,1118.942307692308,26.559327035226445,1172.0609617627608,1065.823653621855,Hold Short/Liquidate Buy
47,HINDUNILVR,EQ,20-Jul-2017,1154.35,1155.45,1161.05,1145.0,1151.5,1152.9,1152.84,1295206,1493166527.95,31942,851040,65.71,7,2017,-0.12561181617358752,Slight or No change,1123.1846153846159,27.28678239715628,1177.7581801789286,1068.6110505903034,Hold Short/Liquidate Buy
48,HINDUNILVR,EQ,21-Jul-2017,1152.9,1158.9,1164.2,1145.0,1158.2,1158.65,1155.57,1690899,1953952305.95,67021,1182172,69.91,7,2017,0.4987423020209825,Slight or No change,1128.6115384615387,26.737638528908683,1182.0868155193562,1075.1362614037216,Hold Short/Liquidate Buy
49,HINDUNILVR,EQ,24-Jul-2017,1158.65,1162.0,1164.3,1154.05,1159.15,1159.35,1159.68,1102676,1278751364.5,27902,798740,72.44,7,2017,0.06041513830750134,Slight or No change,1133.4307692307696,26.146060398442394,1185.7228900276546,1081.1386484338848,Hold Short/Liquidate Buy
50,HINDUNILVR,EQ,25-Jul-2017,1159.35,1155.55,1161.0,1143.0,1149.0,1149.6,1151.52,1686360,1941876822.0,40254,1236591,73.33,7,2017,-0.8409884849268967,Other,1137.8230769230772,23.342938041520906,1184.5089530061189,1091.1372008400353,Hold Short/Liquidate Buy
51,HINDUNILVR,EQ,26-Jul-2017,1149.6,1154.0,1167.0,1141.35,1163.8,1164.55,1159.21,1563285,1812179343.4,32847,1162463,74.36,7,2017,1.3004523312456495,positive,1142.965384615385,21.01471096453892,1184.9948065444628,1100.935962686307,Hold Short/Liquidate Buy
52,HINDUNILVR,EQ,27-Jul-2017,1164.55,1163.8,1192.45,1162.15,1169.65,1171.9,1177.34,2090566,2461307992.2,54110,1232730,58.97,7,2017,0.6311450774977523,Slight positive,1148.7846153846156,17.112560988636037,1183.0097373618876,1114.5594934073436,Hold Short/Liquidate Buy
53,HINDUNILVR,EQ,28-Jul-2017,1171.9,1168.6,1168.6,1141.6,1150.0,1153.85,1151.03,860381,990326066.25,29446,566104,65.8,7,2017,-1.5402338083454368,Other,1152.430769230769,11.455303328983714,1175.3413758887368,1129.5201625728018,Hold Short/Liquidate Buy
54,HINDUNILVR,EQ,31-Jul-2017,1153.85,1159.95,1162.6,1142.1,1160.4,1155.75,1150.43,955459,1099187393.15,24102,706038,73.9,7,2017,0.1646661177796105,Slight or No change,1154.2846153846156,9.614168897507383,1173.5129531796304,1135.0562775896008,Hold Short/Liquidate Buy
55,HINDUNILVR,EQ,01-Aug-2017,1155.75,1154.0,1176.9,1154.0,1174.45,1173.95,1170.77,1359063,1591148850.05,37938,1066199,78.45,8,2017,1.5747350205494337,positive,1157.3038461538465,9.100605784291869,1175.5050577224301,1139.1026345852624,Hold Short/Liquidate Buy
56,HINDUNILVR,EQ,02-Aug-2017,1173.95,1174.0,1175.0,1159.7,1160.3,1168.75,1167.06,587711,685893771.2,28366,382997,65.17,8,2017,-0.4429490182716545,Slight or No change,1159.5692307692314,7.820979756976656,1175.2111902831846,1143.9272712552781,Hold Short/Liquidate Buy
57,HINDUNILVR,EQ,03-Aug-2017,1168.75,1165.5,1179.6,1158.0,1170.1,1169.9,1170.81,597333,699364820.95,28633,373613,62.55,8,2017,0.09839572192513746,Slight or No change,1160.8730769230772,8.035458278384397,1176.943993479846,1144.8021603663085,Hold Short/Liquidate Buy
58,HINDUNILVR,EQ,04-Aug-2017,1169.9,1162.0,1196.3,1162.0,1193.0,1192.1,1185.64,1116836,1324167074.1,42446,694169,62.15,8,2017,1.897598085306429,positive,1163.5076923076927,11.728061898604885,1186.9638161049022,1140.0515685104824,Short
59,HINDUNILVR,EQ,07-Aug-2017,1192.1,1173.0,1193.1,1171.35,1177.95,1186.3,1184.16,868190,1028072406.05,40921,631855,72.78,8,2017,-0.4865363643989595,Slight or No change,1165.9653846153847,12.9346818124691,1191.8347482403228,1140.0960209904465,Hold Short/Liquidate Buy
60,HINDUNILVR,EQ,08-Aug-2017,1186.3,1181.7,1209.0,1181.0,1189.5,1191.0,1196.14,1329938,1590795737.9,57619,859947,64.66,8,2017,0.3961898339374548,Slight or No change,1168.896153846154,14.000111034361133,1196.8963759148762,1140.8959317774318,Hold Short/Liquidate Buy
61,HINDUNILVR,EQ,09-Aug-2017,1191.0,1189.5,1195.5,1176.35,1188.6,1185.35,1188.18,833002,989752508.85,34150,504712,60.59,8,2017,-0.4743912678421558,Slight or No change,1170.9500000000005,14.326388821568113,1199.6027776431365,1142.297222356864,Hold Short/Liquidate Buy
62,HINDUNILVR,EQ,10-Aug-2017,1185.35,1174.85,1183.6,1166.2,1170.0,1170.7,1173.54,699787,821224811.55,33168,455716,65.12,8,2017,-1.2359218796135996,Other,1171.8230769230772,13.900054187316785,1199.6231852977107,1144.0229685484435,Hold Buy/Liquidate Short
63,HINDUNILVR,EQ,11-Aug-2017,1170.7,1160.05,1174.8,1143.55,1155.0,1152.8,1156.94,861457,996652294.1,29621,553097,64.2,8,2017,-1.528999743743065,Other,1172.0692307692314,13.496180608814026,1199.0615919868592,1145.0768695516028,Hold Buy/Liquidate Short
64,HINDUNILVR,EQ,14-Aug-2017,1152.8,1154.5,1169.9,1147.2,1159.05,1155.7,1158.63,526828,610400660.25,35780,313395,59.49,8,2017,0.2515614156835655,Slight or No change,1171.3884615384618,14.116039249826756,1199.6205400381152,1143.1563830388084,Hold Buy/Liquidate Short
65,HINDUNILVR,EQ,16-Aug-2017,1155.7,1151.0,1190.6,1151.0,1187.0,1186.35,1178.03,1366648,1609952538.05,55267,921557,67.43,8,2017,2.6520723371116883,positive,1172.5000000000002,14.715850298235836,1201.931700596472,1143.0682994035285,Hold Short/Liquidate Buy
66,HINDUNILVR,EQ,17-Aug-2017,1186.35,1185.0,1185.0,1165.0,1176.5,1177.3,1175.71,961319,1130228845.75,54456,673680,70.08,8,2017,-0.7628440173641837,Other,1174.3038461538465,13.636936079674056,1201.5777183131945,1147.0299739944985,Hold Short/Liquidate Buy
67,HINDUNILVR,EQ,18-Aug-2017,1177.3,1170.0,1206.3,1169.45,1201.9,1202.2,1191.29,1407292,1676491944.9,47321,1037933,73.75,8,2017,2.1150089187123244,positive,1177.8769230769233,14.432524256357773,1206.7419715896388,1149.0118745642078,Hold Short/Liquidate Buy
68,HINDUNILVR,EQ,21-Aug-2017,1202.2,1202.3,1208.0,1182.35,1192.6,1191.45,1191.26,965962,1150711847.9,38792,631916,65.42,8,2017,-0.8941939777075358,Other,1179.2230769230769,14.845939615835205,1208.9149561547474,1149.5311976914068,Hold Short/Liquidate Buy
69,HINDUNILVR,EQ,22-Aug-2017,1191.45,1206.3,1207.35,1188.05,1199.8,1199.6,1196.66,916218,1096400027.3,40231,621119,67.79,8,2017,0.6840404549078638,Slight positive,1181.5961538461538,15.484258963254659,1212.5646717726634,1150.6276359196445,Hold Short/Liquidate Buy
70,HINDUNILVR,EQ,23-Aug-2017,1199.6,1195.1,1195.45,1183.0,1190.0,1188.15,1187.96,831796,988138959.1,25880,504554,60.66,8,2017,-0.9544848282760808,Other,1183.0000000000002,15.159375536834506,1213.3187510736693,1152.6812489263311,Hold Short/Liquidate Buy
71,HINDUNILVR,EQ,24-Aug-2017,1188.15,1188.0,1189.7,1175.3,1182.0,1179.7,1179.3,780599,920560506.45,38930,492841,63.14,8,2017,-0.711189664604639,Other,1182.046153846154,14.927414119927152,1211.900982086008,1152.1913256062994,Hold Buy/Liquidate Short
72,HINDUNILVR,EQ,28-Aug-2017,1179.7,1181.35,1202.85,1178.75,1200.0,1199.7,1191.95,630713,751779122.8,37923,440977,69.92,8,2017,1.6953462744765613,positive,1183.076923076923,15.688857715282113,1214.4546385074873,1151.699207646359,Hold Short/Liquidate Buy
73,HINDUNILVR,EQ,29-Aug-2017,1199.7,1195.15,1198.55,1183.0,1190.0,1190.45,1187.23,1002082,1189698039.05,26053,783695,78.21,8,2017,-0.7710260898557975,Other,1183.0346153846153,15.666436850472868,1214.3674890855611,1151.7017416836695,Hold Short/Liquidate Buy
74,HINDUNILVR,EQ,30-Aug-2017,1190.45,1197.5,1209.6,1187.25,1201.9,1204.3,1200.85,666156,799951954.5,31218,396192,59.47,8,2017,1.1634255953630879,positive,1184.4923076923073,16.744350367538377,1217.9810084273845,1151.0036069572307,Hold Short/Liquidate Buy
75,HINDUNILVR,EQ,31-Aug-2017,1204.3,1201.85,1222.8,1194.3,1215.1,1219.75,1211.96,1425125,1727195417.75,46730,919643,64.53,8,2017,1.2829029311633322,positive,1188.2653846153846,18.780057958462166,1225.825500532309,1150.7052686984605,Hold Short/Liquidate Buy
76,HINDUNILVR,EQ,01-Sep-2017,1219.75,1216.25,1222.0,1207.15,1215.75,1216.15,1215.38,622867,757017699.25,42174,365980,58.76,9,2017,-0.2951424472227848,Slight or No change,1193.1384615384618,16.93944058804864,1227.0173427145594,1159.2595803623644,Hold Short/Liquidate Buy
77,HINDUNILVR,EQ,04-Sep-2017,1216.15,1214.85,1214.85,1193.75,1194.1,1197.15,1200.75,586791,704589156.35,44725,392962,66.97,9,2017,-1.5623072811742025,Other,1196.3269230769233,12.66763618085068,1221.6621954386246,1170.991650715222,Hold Short/Liquidate Buy
78,HINDUNILVR,EQ,05-Sep-2017,1197.15,1196.4,1211.5,1192.3,1204.0,1205.2,1203.58,699191,841529750.0,49473,457485,65.43,9,2017,0.672430355427478,Slight positive,1197.7769230769236,12.50829084022809,1222.7935047573794,1172.760341396467,Hold Short/Liquidate Buy
79,HINDUNILVR,EQ,06-Sep-2017,1205.2,1202.0,1212.0,1200.3,1202.6,1206.4,1206.07,670064,808146178.05,28400,517108,77.17,9,2017,0.09956853634252028,Slight or No change,1200.0153846153846,11.05818672250984,1222.1317580604045,1177.8990111703654,Hold Short/Liquidate Buy
80,HINDUNILVR,EQ,07-Sep-2017,1206.4,1209.0,1221.75,1203.7,1209.0,1208.75,1211.53,781792,947161016.6,42335,528160,67.56,9,2017,0.1947944297082227,Slight or No change,1200.519230769231,11.312318846834991,1223.1438684629006,1177.894593075561,Hold Short/Liquidate Buy
81,HINDUNILVR,EQ,08-Sep-2017,1208.75,1210.25,1218.35,1202.1,1204.9,1207.55,1210.05,663219,802528428.8,34470,443645,66.89,9,2017,-0.09927611168563112,Slight or No change,1201.7576923076927,11.116295211576674,1223.9902827308458,1179.525101884539,Hold Short/Liquidate Buy
82,HINDUNILVR,EQ,11-Sep-2017,1207.55,1206.0,1232.0,1206.0,1217.0,1219.9,1224.19,794869,973070275.4,38165,364323,45.83,9,2017,1.0227319779719355,positive,1203.3192307692314,12.164335480923937,1227.647901731079,1178.9905598073833,Hold Short/Liquidate Buy
83,HINDUNILVR,EQ,12-Sep-2017,1219.9,1224.0,1255.0,1223.0,1249.15,1249.8,1240.84,1164498,1444950412.9,45613,761081,65.36,9,2017,2.451020575456986,positive,1208.061538461539,16.86625271865097,1241.7940438988408,1174.329033024237,Short
84,HINDUNILVR,EQ,13-Sep-2017,1249.8,1250.0,1259.0,1245.2,1250.5,1250.95,1250.77,848136,1060822300.85,32167,588133,69.34,9,2017,0.09201472235558228,Slight or No change,1213.542307692308,18.389725915057994,1250.321759522424,1176.7628558621918,Short
85,HINDUNILVR,EQ,14-Sep-2017,1250.95,1262.1,1262.1,1230.1,1241.1,1247.85,1252.83,1239363,1552706624.95,22980,905726,73.08,9,2017,-0.2478116631360328,Slight or No change,1217.2461538461541,20.135483413811773,1257.5171206737775,1176.9751870185305,Hold Short/Liquidate Buy
86,HINDUNILVR,EQ,15-Sep-2017,1247.85,1242.1,1256.8,1235.6,1253.95,1246.0,1245.3,1333125,1660143540.9,34386,1110451,83.3,9,2017,-0.14825499859758562,Slight or No change,1221.5192307692307,19.867546175254,1261.2543231197387,1181.7841384187227,Hold Short/Liquidate Buy
87,HINDUNILVR,EQ,18-Sep-2017,1246.0,1250.0,1285.95,1246.0,1282.0,1280.05,1272.3,781532,994342636.7,25210,434220,55.56,9,2017,2.7327447833065843,positive,1227.3461538461538,24.874003007985102,1277.0941598621241,1177.5981478301835,Short
88,HINDUNILVR,EQ,19-Sep-2017,1280.05,1287.6,1287.6,1273.55,1285.0,1279.3,1280.2,563558,721467180.65,23117,368896,65.46,9,2017,-0.05859146127104031,Slight or No change,1231.926923076923,28.567621644275807,1289.0621663654747,1174.7916797883713,Hold Short/Liquidate Buy
89,HINDUNILVR,EQ,20-Sep-2017,1279.3,1280.0,1281.35,1255.1,1257.55,1259.35,1262.61,1179496,1489241701.7,51488,909285,77.09,9,2017,-1.5594465723442583,Other,1235.2499999999998,29.087318256133276,1293.4246365122665,1177.0753634877333,Hold Short/Liquidate Buy
90,HINDUNILVR,EQ,21-Sep-2017,1259.35,1261.0,1261.9,1248.0,1253.4,1256.7,1253.58,913615,1145289043.2,49123,613564,67.16,9,2017,-0.2104260134196068,Slight or No change,1239.830769230769,27.21606861811432,1294.2629064669975,1185.3986319945407,Hold Short/Liquidate Buy
91,HINDUNILVR,EQ,22-Sep-2017,1256.7,1252.2,1252.25,1234.1,1240.5,1239.2,1241.24,1208698,1500279425.75,51664,909368,75.24,9,2017,-1.392536007002465,Other,1242.4461538461535,25.167368601186077,1292.7808910485255,1192.1114166437812,Hold Buy/Liquidate Short
92,HINDUNILVR,EQ,25-Sep-2017,1239.2,1239.9,1259.0,1237.5,1247.9,1247.15,1247.28,1271436,1585835638.8,86610,953336,74.98,9,2017,0.6415429309231779,Slight positive,1245.580769230769,22.722644161553742,1291.0260575538764,1200.1354809076615,Hold Short/Liquidate Buy
93,HINDUNILVR,EQ,26-Sep-2017,1247.15,1261.1,1261.1,1201.05,1217.0,1217.35,1215.04,1751337,2127936144.2,100839,1131488,64.61,9,2017,-2.3894479413061886,Other,1246.2423076923073,21.661417756717963,1289.5651432057437,1202.9194721788715,Hold Buy/Liquidate Short
94,HINDUNILVR,EQ,27-Sep-2017,1217.35,1217.0,1217.5,1188.0,1210.1,1205.9,1198.49,2299025,2755350415.45,87834,1566060,68.12,9,2017,-0.9405676264016004,Other,1246.1153846153845,21.910427356018477,1289.9362393274216,1202.2945299033474,Hold Buy/Liquidate Short
95,HINDUNILVR,EQ,28-Sep-2017,1205.9,1205.8,1212.95,1192.15,1203.1,1202.8,1201.7,3007522,3614143818.2,94915,2254870,74.97,9,2017,-0.25706940874037354,Slight or No change,1244.8,24.026521804045682,1292.8530436080914,1196.7469563919085,Hold Buy/Liquidate Short
